permno,fyear,EXECID,grantdate,val,security,ret,retlag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,val_lag,time
10421,2007,8180,20070206,6.440460543,1,-0.160871704,0.635904947,10.90417516,6.470457997,4.831551425,0.86676033,1.121482227,8.224811828,0.426344167,0.148054023,6.64276858,15
10421,2008,8180,20080206,6.250292377,1,-0.168530362,-0.160871704,10.91341924,6.505502022,4.919328093,0.880005954,1.094687829,8.291928642,0.42371551,0.106130134,6.440460543,16
10421,2009,8180,20090203,6.344505078,1,-0.544419222,-0.168530362,10.46319258,6.032673864,4.917358049,0.92384207,0.943437683,8.297865102,0.478314328,0.104132414,6.250292377,17
10421,2010,8180,20100203,5.030123628,1,0.435259142,-0.544419222,10.44592159,5.99096787,4.825978706,0.932604268,0.904585105,8.369111193,0.503883936,0.097028342,6.344505078,18
10421,2011,8180,20110202,4.965892513,1,0.114475567,0.435259142,10.32294931,5.849603899,4.613982001,0.895650478,0.870743406,8.400099668,0.490208706,0.080516108,5.030123628,19
10421,2012,8180,20120215,5.332929922,1,-0.309013648,0.114475567,10.03940916,5.58580383,4.222363492,0.903270265,0.837209039,8.362387497,0.506406111,0.036461405,4.965892513,20
10644,2007,18190,20070701,4.983606622,0,0.205927338,-0.155349912,6.719919736,2.698679405,0.209456496,0.957843214,0.839012883,4.992091075,0.061124396,0.081645694,4.823855816,15
10644,2007,18190,20070213,5.147926329,1,0.356185493,-0.026064903,6.719919736,2.698679405,0.209456496,0.957843214,0.839012883,4.992091075,0.061124396,0.081645694,0,15
10644,2008,18190,20080701,5.002670324,0,-0.109245149,0.205927338,7.500165144,3.111277151,2.356655511,0.839239688,0.909299897,5.009441248,0.055422984,0.116490249,4.983606622,16
10644,2008,18190,20080219,5.108710617,1,-0.225969594,0.356185493,7.500165144,3.111277151,2.356655511,0.839239688,0.909299897,5.009441248,0.055422984,0.116490249,5.147926329,16
10644,2009,18190,20090701,3.642835516,0,-0.658251769,-0.109245149,6.653369846,2.31256138,1.70597411,0.801145536,0.692221659,4.748568985,0.404023519,0.082320372,5.002670324,17
