permno,fyear,date,adjfac,S0,S1,u,sigma
23077,2010,20110430,1,46.869998932,51.229999542,0.0560920013,0.1723992529
23077,2011,20120430,1,51.229999542,53.310001373,0.1617785714,0.1231864135
23393,2007,20071231,2,21.325000763,27.034999847,0.1310083864,0.172384953
23393,2008,20081231,2,27.034999847,28.059999466,0.1548568532,0.1877741853
23393,2009,20091231,2,28.059999466,30.225000381,0.1017341734,0.2010620499
23393,2010,20101231,2,30.225000381,34.509998322,0.0765844529,0.1846445682
23393,2011,20111231,1,34.509998322,45.759998322,0.1779866232,0.1741220694
24942,2007,20071231,1,52.799999237,60.700000763,0.117517042,0.1162506451
24942,2008,20081231,1,60.700000763,51.040000916,0.0600613701,0.1583084113
24942,2009,20091231,1,51.040000916,51.520000458,-0.023179079,0.2317474836
24942,2010,20101231,1,51.520000458,46.340000153,-0.091088512,0.2380734076
24942,2011,20111231,1,46.340000153,48.380001068,-0.018892143,0.2357317019
28484,2007,20071231,1,49.569999695,100.86000061,0.5184349681,0.3491425877
28484,2008,20081231,1,100.86000061,53.63999939,0.196630982,0.441569527
28484,2009,20091231,1,53.63999939,60.5,0.1982761961,0.4317379072
28484,2010,20101231,1,60.5,76.540000916,-0.031511132,0.3940280527
28484,2011,20111231,1,76.540000916,56.799999237,0.0414928386,0.3221354761
30681,2007,20071231,1,52.270000458,47.529998779,0.0049345939,0.143783666
30681,2008,20081231,1,47.529998779,26.920000076,-0.134567627,0.2040233497
30681,2009,20091231,1,26.920000076,39.150001526,-0.042334499,0.2935625674
30681,2010,20101231,1,39.150001526,45.799999237,0.0565307872,0.3354853908
30681,2011,20111231,1,45.799999237,44.580001831,0.195146051,0.333572429
38659,2007,20071231,1,15.56000042,17.770000458,-0.043513884,0.240538683
38659,2008,20081231,1,17.770000458,8.8299999237,-0.219983445,0.3293229332
38659,2009,20091231,1,8.8299999237,17.850000381,0.1976936779,0.435013801
38659,2010,20101231,1,17.850000381,29.559999466,0.3836281232,0.4919496631
38659,2011,20111231,1,29.559999466,29.590000153,0.5542279994,0.4415843653
39220,2007,20071231,1,14.979999542,8.1599998474,-0.123004925,0.5182926277
39220,2008,20081231,1,8.1599998474,3.4600000381,-0.171958425,0.6411211046
39220,2009,20091231,1,3.4600000381,8.5200004578,0.1289755433,0.8539964855
39220,2010,20101231,1,8.5200004578,13.699999809,0.4900692015,0.8612249441
39220,2011,20111231,1,13.699999809,20.049999237,0.8384575633,0.7167235415
39538,2007,20071231,1,22.659999847,19.040000916,-0.015821491,0.252745243
39538,2008,20081231,1,19.040000916,16,-0.001725395,0.3017421236
39538,2009,20091231,1,16,19.979999542,-0.042943949,0.3487157332
39538,2010,20101231,1,19.979999542,25.430000305,0.1122367173,0.3382685759
39538,2011,20111231,1,25.430000305,27.760000229,0.200469755,0.2649197132
40694,2007,20080531,1,86.980003357,72.900001526,0.2901200862,0.3983645206
40694,2008,20090531,1,72.900001526,34.029998779,-0.011486887,0.5966191775
40694,2009,20100531,1,34.029998779,36.299999237,-0.222182158,0.6427589931
40694,2010,20110531,1,36.299999237,41.88999939,-0.108700179,0.6455938798
40694,2011,20120531,1,41.88999939,32,-0.007944385,0.4370139437
44943,2007,20071231,1,23.653333028,30.069999695,0.432007445,0.3495851265
44943,2008,20081231,1,30.069999695,6.0599999428,-0.165546479,0.5747350164
44943,2009,20091231,1,6.0599999428,20.409999847,0.5894293484,0.6540662015
44943,2010,20101231,1,20.409999847,26.989999771,0.6231139855,0.7124883367
44943,2011,20111231,1,26.989999771,21.299999237,0.8199223057,0.5412366488
47379,2007,20071231,1,28.940000534,18.659999847,-0.164753122,0.1861633416
47379,2008,20081231,1,18.659999847,13.010000229,-0.215974488,0.2731963324
47379,2009,20091231,1,13.010000229,11.930000305,-0.262455226,0.4352822411
47379,2010,20101231,1,11.930000305,18.799999237,0.0559490436,0.513931144
47379,2011,20111231,1,18.799999237,13.680000305,0.069963267,0.5597476046
48531,2007,20071231,1,20.079999924,20.420000076,-0.018432348,0.2194225975
48531,2008,20081231,1,20.420000076,22.940000534,0.0343635609,0.2851525372
48531,2009,20091231,1,22.940000534,26.299999237,0.0723946898,0.3071610998
48531,2010,20101231,1,26.299999237,23.440000534,0.0442021691,0.3703623341
48531,2011,20111231,1,23.440000534,22.5,-0.004120399,0.3394678512
48725,2007,20071231,2,46.009998322,62.810001373,0.1842440458,0.2177162843
48725,2008,20081231,1,62.810001373,47.799999237,0.0480041464,0.2840180999
48725,2009,20091231,1,47.799999237,63.900001526,0.1284033634,0.3280206914
48725,2010,20101231,1,63.900001526,92.660003662,0.1744857741,0.3281976046
48725,2011,20111231,1,92.660003662,105.94000244,0.3058480045,0.2787694641
50972,2007,20071231,1,37.169998169,21.25,-0.334147043,0.2281149078
50972,2008,20081231,1,21.25,1.75,-0.558720884,0.5217959338
50972,2009,20091231,1,1.75,7.8400001526,0.6956683625,1.0520543222
50972,2010,20101231,1,7.8400001526,5.7800002098,0.7586974338,1.1554662062
50972,2011,20111231,1,5.7800002098,4.0700001717,0.9661231304,1.1308956704
51625,2007,20071231,1,10.25,14.050000191,0.1891078159,0.2175587641
51625,2008,20081231,1,14.050000191,4.9699997902,-0.048525122,0.3075544363
51625,2009,20091231,1,4.9699997902,8.1899995804,0.0999489379,0.4111841434
51625,2010,20101231,1,8.1899995804,8.25,-0.002887514,0.4207213573
51625,2011,20111231,1,8.25,10.649999619,0.3110381847,0.384039249
53110,2007,20071231,1,27.700000763,44.950000763,0.3884439792,0.4212291064
53110,2008,20081231,1,44.950000763,29.020000458,0.1780761765,0.5066951706
53110,2009,20091231,1,29.020000458,39.819999695,0.1845910353,0.5106056895
53110,2010,20101231,1,39.819999695,44.220001221,0.035416786,0.477324902
53110,2011,20111231,1,44.220001221,29.430000305,0.0457319114,0.3328079457
53575,2007,20071231,1,7.5999999046,9.9799995422,0.2793890499,0.3830941713
53575,2008,20081231,1,9.9799995422,2.7799999714,0.1074818323,0.4598421755
53575,2009,20091231,1,2.7799999714,5.2300000191,0.1344188614,0.5608799935
53575,2010,20101231,1,5.2300000191,9.6499996185,0.3284659045,0.5681936865
53575,2011,20111231,1,9.6499996185,11.279999733,0.6263702983,0.5142324688
54148,2007,20071231,1,33.119998932,10.539999962,-0.234956211,0.3553821421
54148,2008,20081231,1,10.539999962,10.930000305,-0.292491514,0.5306152072
54148,2009,20091231,1,10.930000305,10,-0.256000115,0.6001978511
54148,2010,20101231,1,10,7.5199999809,-0.107149081,0.5994157168
54148,2011,20111231,1,7.5199999809,6.3099999428,-0.167445379,0.5252534907
56223,2007,20071231,1,21.530000687,13.680000305,-0.218620328,0.2134566705
56223,2008,20081231,1,13.680000305,1.5599999428,-0.511874018,0.5469107469
56223,2009,20091231,1,1.5599999428,6.9800000191,0.724542602,0.9754342797
56223,2010,20101231,1,6.9800000191,9.4600000381,0.9726193813,1.0152042426
56223,2011,20111231,1,9.4600000381,8.0699996948,1.2192396728,0.8637064559
60628,2007,20080531,1,111.62000275,91.709999084,-0.020054074,0.1836287704
60628,2008,20090531,1,91.709999084,55.430000305,-0.211939951,0.2959256662
60628,2009,20100531,1,55.430000305,83.489997864,-0.035967532,0.3414556776
60628,2010,20110531,1,83.489997864,93.63999939,0.0719457198,0.3652933099
60628,2011,20120531,1,93.63999939,89.13999939,0.1898526104,0.3033562179
63830,2007,20080331,1,104.05000305,102.08000183,0.3672059033,0.2788330786
63830,2008,20090331,1,102.08000183,59.900001526,0.0648536996,0.3610162285
63830,2009,20100331,1,59.900001526,126.70999908,0.2101637933,0.4010215324
63830,2010,20110331,1,126.70999908,147.17999268,0.2810258753,0.3923515486
63830,2011,20120331,1,147.17999268,172.8999939,0.4793873454,0.2786632868
64311,2007,20071231,1,50.290000916,50.439998627,0.0748629677,0.2728104773
64311,2008,20081231,1,50.439998627,47.049999237,-0.018449298,0.2833903613
64311,2009,20091231,1,47.049999237,52.419998169,-0.005161876,0.2991701791
64311,2010,20101231,1,52.419998169,62.819999695,0.0732406902,0.3135857997
64311,2011,20111231,1,62.819999695,72.86000061,0.1537687803,0.2942378566
66376,2007,20071231,1,47.159999847,36.759998322,0.0454442474,0.327513705
66376,2008,20081231,1,36.759998322,38.400001526,-0.159614914,0.347299918
66376,2009,20091231,1,38.400001526,48.979999542,0.0135442825,0.3334217808
66376,2010,20101231,1,48.979999542,63.080001831,0.1931873658,0.3090239281
66376,2011,20111231,1,63.080001831,65.660003662,0.1975195769,0.3034685154
68591,2007,20071231,1,36.560001373,40.63999939,-0.029119316,0.2413143086
68591,2008,20081231,1,40.63999939,32.959999084,-0.149016985,0.3078711769
68591,2009,20091231,1,32.959999084,36.779998779,-0.009775705,0.3228195738
68591,2010,20101231,1,36.779998779,42.75,0.0218674159,0.314645289
68591,2011,20111231,1,42.75,34.299999237,0.0234121534,0.2935477633
69550,2007,20071231,1,21.13999939,14.06000042,-0.065651941,0.2444944834
69550,2008,20081231,1,14.06000042,9.8900003433,-0.259071993,0.3024337471
69550,2009,20091231,1,9.8900003433,18.430000305,0.0727899791,0.3182195935
69550,2010,20101231,1,18.430000305,21.129999161,0.2294568537,0.3279877602
69550,2011,20111231,1,21.129999161,21.459999084,0.3372830077,0.2856883483
70308,2007,20080331,1,42.150001526,45.470001221,0.2139058765,0.2519172487
70308,2008,20090331,1,45.470001221,33.810001373,-0.066942103,0.3018471843
70308,2009,20100331,1,33.810001373,63.619998932,0.2155362824,0.4571140233
70308,2010,20110331,1,63.619998932,66.419998169,0.2159544177,0.4471265135
70308,2011,20120331,1,66.419998169,88.970001221,0.4175393681,0.3741979933
73139,2007,20071231,1,55.11000061,74.720001221,0.1231068401,0.2247748791
73139,2008,20081231,1,74.720001221,39.950000763,0.0019130509,0.2539410466
73139,2009,20091231,1,39.950000763,50.369998932,0.0259713737,0.284570619
73139,2010,20101231,1,50.369998932,53.700000763,-0.052563789,0.2987117841
73139,2011,20111231,1,53.700000763,49.709999084,0.0805705692,0.251624131
73681,2007,20080331,1,33.209999084,20.409999847,0.1363059257,0.560976895
73681,2008,20090331,1,20.409999847,23.100000381,-0.151060346,0.4304302579
73681,2009,20100331,1,23.100000381,25.590000153,-0.063213933,0.4541257689
73681,2010,20110331,1,25.590000153,22.280000687,0.0290590716,0.3966883292
73681,2011,20120331,1,22.280000687,18.069999695,-0.072995474,0.3166068075
75326,2007,20071231,1,30.030000687,44.930000305,0.4382046261,0.4135106805
75326,2008,20081231,1,44.930000305,16.290000916,-0.164457035,0.5938086881
75326,2009,20091231,1,16.290000916,22.25,0.0491802558,0.6025706341
75326,2010,20101231,1,22.25,35.060001373,0.0952664827,0.6171787951
75326,2011,20111231,1,35.060001373,14.510000229,0.1144895354,0.5044152043
75577,2007,20071231,1,19.680000305,19.319999695,-0.061846625,0.2750277057
75577,2008,20081231,1,19.319999695,16.709999084,-0.0666381,0.3095855198
75577,2009,20091231,1,16.709999084,22.629999161,0.0453849072,0.3100794194
75577,2010,20101231,1,22.629999161,35.580001831,0.2548406216,0.3361201602
75577,2011,20111231,1,35.580001831,37.099998474,0.3187792379,0.3167878526
75592,2007,20071231,1,39.849998474,46.040000916,0.0213633252,0.1367256658
75592,2008,20081231,1,46.040000916,34.740001678,-0.03331925,0.2307120635
75592,2009,20091231,1,34.740001678,37.759998322,-0.023921872,0.3029774774
75592,2010,20101231,1,37.759998322,37.450000763,-0.062935803,0.3103416869
75592,2011,20111231,1,37.450000763,36.560001373,0.0149756747,0.2582792655
