permno,fyear,EXECID,val,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
11618,2007,14812,8.165,1,-0.16439,0.68243,0.000,9.412,4.815,0.000,1.00000,5.33411,6.94699,0.00000,0.10997
11618,2008,14812,0.000,0,0.05380,0.20771,0.000,9.685,5.292,4.461,0.57305,5.31388,7.05967,0.00000,0.21934
11618,2008,14812,0.000,1,0.05380,0.20771,8.165,9.685,5.292,4.461,0.57305,5.31388,7.05967,0.00000,0.21934
11618,2009,14812,0.000,0,-0.27874,0.05380,0.000,9.402,4.989,4.282,0.55406,4.09324,7.17407,0.00000,0.22346
11618,2009,14812,0.000,1,-0.27874,0.05380,0.000,9.402,4.989,4.282,0.55406,4.09324,7.17407,0.00000,0.22346
11618,2010,14812,0.000,0,0.37486,-0.27874,0.000,9.600,5.217,4.333,0.77400,4.72784,7.19170,0.00000,0.23469
11618,2010,14812,0.000,1,0.37486,-0.27874,0.000,9.600,5.217,4.333,0.77400,4.72784,7.19170,0.00000,0.23469
11618,2011,14812,0.000,0,0.36799,0.37486,0.000,10.013,5.659,4.307,0.86253,6.14211,7.29253,0.00000,0.18118
11618,2011,14812,0.000,1,0.36799,0.37486,0.000,10.013,5.659,4.307,0.86253,6.14211,7.29253,0.00000,0.18118
11644,2007,34308,8.834,0,0.04719,-0.03004,8.724,10.853,6.330,0.316,0.62840,1.37077,7.53856,0.17800,0.35863
11644,2007,34308,0.000,1,-0.13097,0.01598,0.000,10.853,6.330,0.316,0.62840,1.37077,7.53856,0.17800,0.35863
11644,2008,34308,9.090,0,0.36498,0.04719,8.834,10.819,6.276,0.071,0.50673,1.32828,7.76446,0.24385,0.23763
11644,2008,34308,0.000,1,1.21130,-0.13097,0.000,10.819,6.276,0.071,0.50673,1.32828,7.76446,0.24385,0.23763
11644,2009,34308,9.012,0,-0.14551,0.36498,9.090,11.122,6.531,0.126,0.40000,1.71763,7.36448,0.07748,0.29344
11644,2009,34308,0.000,1,-0.37498,1.21130,0.000,11.122,6.531,0.126,0.40000,1.71763,7.36448,0.07748,0.29344
11644,2010,34308,8.445,0,-0.39664,-0.14551,9.012,11.090,6.499,0.021,0.39181,1.45450,7.52831,0.17413,0.11170
11644,2010,34308,0.000,1,-0.34511,-0.37498,0.000,11.090,6.499,0.021,0.39181,1.45450,7.52831,0.17413,0.11170
11644,2011,34308,8.240,0,-0.37818,-0.39664,8.445,10.631,6.028,0.000,0.40985,1.05250,7.58336,0.24832,0.16765
11644,2011,34308,0.000,1,0.25736,-0.34511,0.000,10.631,6.028,0.000,0.40985,1.05250,7.58336,0.24832,0.16765
11850,2007,26689,9.688,0,0.10951,0.26311,9.517,11.139,6.703,3.602,0.36817,2.48469,12.29690,0.01534,0.23657
11850,2007,26689,0.000,1,0.19789,0.10305,0.000,11.139,6.703,3.602,0.36817,2.48469,12.29690,0.01534,0.23657
11850,2008,26689,9.776,0,-0.11940,0.10951,9.688,11.461,6.969,2.638,0.28270,2.57995,12.39704,0.01532,0.23744
11850,2008,26689,0.000,1,-0.08153,0.19789,0.000,11.461,6.969,2.638,0.28270,2.57995,12.39704,0.01532,0.23744
11850,2009,26689,9.739,0,-0.06791,-0.11940,9.776,11.431,6.953,2.495,0.24622,2.24651,12.33733,0.01840,0.24671
11850,2009,26689,0.000,1,-0.13274,-0.08153,0.000,11.431,6.953,2.495,0.24622,2.24651,12.33733,0.01840,0.24671
11850,2010,26689,9.646,0,-0.07644,-0.06791,9.739,11.383,6.912,2.366,0.21992,1.90761,12.36018,0.02158,0.12470
11850,2010,26689,0.000,1,-0.15533,-0.13274,0.000,11.383,6.912,2.366,0.21992,1.90761,12.36018,0.02158,0.12470
11850,2011,26689,9.792,0,0.15419,-0.07644,9.646,11.724,7.177,0.425,0.26931,1.71808,12.61987,0.02889,0.20749
11850,2011,26689,0.000,1,0.33381,-0.15533,0.000,11.724,7.177,0.425,0.26931,1.71808,12.61987,0.02889,0.20749
12570,2007,26006,8.423,0,0.02161,0.19857,8.256,10.218,6.054,4.603,0.00000,2.01402,8.91342,0.07334,0.12188
12570,2007,26006,7.204,1,0.02161,0.19857,7.176,10.218,6.054,4.603,0.00000,2.01402,8.91342,0.07334,0.12188
12570,2008,26006,8.507,0,-0.17265,0.02161,8.423,10.340,6.234,4.835,0.09907,1.69601,9.35476,0.18200,0.10456
12570,2008,26006,7.022,1,-0.17265,0.02161,7.204,10.340,6.234,4.835,0.09907,1.69601,9.35476,0.18200,0.10456
12570,2009,26006,8.220,0,-0.26830,-0.17265,8.507,9.882,5.758,5.588,0.47527,1.50538,9.25734,0.13608,0.09612
12570,2009,26006,7.306,1,-0.26830,-0.17265,7.022,9.882,5.758,5.588,0.47527,1.50538,9.25734,0.13608,0.09612
12570,2010,26006,8.340,0,0.38789,-0.26830,8.220,10.096,6.014,5.670,0.43691,1.46896,9.31741,0.09211,0.12096
12570,2010,26006,7.808,1,0.38789,-0.26830,7.306,10.096,6.014,5.670,0.43691,1.46896,9.31741,0.09211,0.12096
12570,2011,26006,8.351,0,0.11684,0.38789,8.340,10.381,6.253,5.787,0.61343,1.40869,9.42859,0.07791,0.11151
12570,2011,26006,7.539,1,0.11684,0.38789,7.808,10.381,6.253,5.787,0.61343,1.40869,9.42859,0.07791,0.11151
14277,2006,16308,0.000,0,0.52899,0.26640,0.000,10.133,5.532,0.000,1.00000,3.74433,9.80248,0.06483,0.18792
14277,2006,16308,9.757,1,0.80867,0.09029,9.194,10.133,5.532,0.000,1.00000,3.74433,9.80248,0.06483,0.18792
14277,2007,16308,0.000,0,0.35112,0.52899,0.000,12.315,8.013,6.697,0.59037,3.80201,10.03597,0.06895,0.26450
14277,2007,16308,9.231,1,-0.05128,0.80867,9.757,12.315,8.013,6.697,0.59037,3.80201,10.03597,0.06895,0.26450
14277,2008,16308,0.000,0,0.04266,0.35112,0.000,12.739,8.353,6.343,0.62475,4.68849,10.23475,0.04186,0.27413
14277,2008,16308,9.190,1,0.13928,-0.05128,9.231,12.739,8.353,6.343,0.62475,4.68849,10.23475,0.04186,0.27413
14277,2009,16308,0.000,0,-0.47868,0.04266,0.000,11.577,7.255,6.800,0.71130,2.05293,10.37323,0.08056,0.24992
14277,2009,16308,9.332,1,-0.46785,0.13928,9.190,11.577,7.255,6.800,0.71130,2.05293,10.37323,0.08056,0.24992
14277,2010,16308,0.000,0,0.11106,-0.47868,0.000,12.284,7.852,6.926,0.69945,2.75295,10.41829,0.05948,0.16461
14277,2010,16308,9.295,1,0.54809,-0.46785,9.332,12.284,7.852,6.926,0.69945,2.75295,10.41829,0.05948,0.16461
14277,2011,16308,0.000,0,0.51120,0.11106,0.000,12.586,8.144,7.086,0.73480,2.59236,10.85453,0.06045,0.16417
14277,2011,16308,9.719,1,0.39801,0.54809,9.295,12.586,8.144,7.086,0.73480,2.59236,10.85453,0.06045,0.16417
15069,2006,14406,0.000,0,0.48724,0.50760,6.984,9.925,5.325,0.000,0.93289,1.37390,10.25762,0.10249,0.20228
15069,2006,14406,8.496,1,0.49637,0.37386,7.707,9.925,5.325,0.000,0.93289,1.37390,10.25762,0.10249,0.20228
15069,2007,14406,0.000,0,0.16066,0.48724,0.000,11.298,6.905,5.491,0.68001,1.56962,10.33631,0.07299,0.19257
15069,2007,14406,8.864,1,0.57342,0.48575,8.496,11.298,6.905,5.491,0.68001,1.56962,10.33631,0.07299,0.19257
15069,2008,14406,0.000,0,-0.12896,0.16066,0.000,11.710,7.314,5.872,0.74899,1.56828,10.66305,0.10763,0.21151
15069,2008,14406,8.319,1,0.12650,0.22449,8.864,11.710,7.314,5.872,0.74899,1.56828,10.66305,0.10763,0.21151
15069,2009,14406,0.000,0,-0.35445,-0.12896,0.000,11.497,7.048,6.099,0.79780,0.95289,10.66165,0.17664,0.15866
15069,2009,14406,8.285,1,-0.56926,0.12650,8.319,11.497,7.048,6.099,0.79780,0.95289,10.66165,0.17664,0.15866
15069,2010,14406,0.000,0,0.03339,-0.35445,0.000,10.909,6.665,6.252,0.79607,1.00478,10.75903,0.18047,0.12341
15069,2010,14406,8.552,1,0.23876,-0.56926,8.285,10.909,6.665,6.252,0.79607,1.00478,10.75903,0.18047,0.12341
15069,2011,14406,0.000,0,0.51519,0.03339,0.000,11.311,7.056,6.474,0.78256,1.05039,10.82008,0.15030,0.12482
15069,2011,14406,8.774,1,0.70827,0.23876,8.552,11.311,7.056,6.474,0.78256,1.05039,10.82008,0.15030,0.12482
15202,2006,11011,0.000,0,-0.08869,0.43516,0.000,8.752,4.163,0.000,1.00000,2.30139,8.18588,0.07209,0.12910
15202,2006,11011,8.179,1,0.22727,0.16100,8.461,8.752,4.163,0.000,1.00000,2.30139,8.18588,0.07209,0.12910
15202,2007,11011,0.000,0,0.36291,-0.08869,0.000,11.533,7.400,5.874,0.78735,2.89857,8.13892,0.05255,0.16143
15202,2007,11011,8.250,1,0.40770,0.31529,8.179,11.533,7.400,5.874,0.78735,2.89857,8.13892,0.05255,0.16143
15202,2008,11011,0.000,0,-0.34878,0.36291,0.000,11.285,7.167,6.235,0.81868,1.53720,9.09800,0.26618,0.20680
15202,2008,11011,7.412,1,-0.42365,0.40770,8.250,11.285,7.167,6.235,0.81868,1.53720,9.09800,0.26618,0.20680
15202,2009,11011,0.000,0,-0.26709,-0.34878,0.000,10.997,6.849,6.375,0.83370,1.46553,9.09551,0.27157,0.04870
15202,2009,11011,8.258,1,-0.41842,-0.42365,7.412,10.997,6.849,6.375,0.83370,1.46553,9.09551,0.27157,0.04870
15202,2010,11011,0.000,0,-0.05071,-0.26709,0.000,10.499,6.388,6.280,0.77150,1.30233,9.05181,0.24639,0.05082
15202,2010,11011,7.626,1,0.04372,-0.41842,8.258,10.499,6.388,6.280,0.77150,1.30233,9.05181,0.24639,0.05082
15202,2011,11011,0.000,0,-0.24392,-0.05071,0.000,10.245,6.136,6.133,0.79580,1.20849,9.02869,0.26977,0.02376
15202,2011,11011,7.109,1,-0.03757,0.06216,7.626,10.245,6.136,6.133,0.79580,1.20849,9.02869,0.26977,0.02376
15579,2006,14274,8.480,0,0.21419,-0.27468,7.668,9.275,4.679,0.000,0.03794,3.60676,9.62006,0.01217,0.23143
15579,2006,14274,8.683,1,0.21419,-0.27468,8.739,9.275,4.679,0.000,0.03794,3.60676,9.62006,0.01217,0.23143
15579,2007,14274,8.354,0,0.01635,0.21419,8.480,11.084,7.023,6.721,0.67738,3.18240,9.54187,0.00097,0.16331
15579,2007,14274,8.160,1,0.01635,0.21419,8.683,11.084,7.023,6.721,0.67738,3.18240,9.54187,0.00097,0.16331
15579,2008,14274,8.405,0,-0.04895,0.01635,8.354,11.336,7.283,6.714,0.74032,3.75426,9.44683,0.00000,0.31630
15579,2008,14274,7.961,1,-0.04895,0.01635,8.160,11.336,7.283,6.714,0.74032,3.75426,9.44683,0.00000,0.31630
15579,2009,14274,8.105,0,-0.52524,-0.04895,8.405,9.856,5.807,6.149,0.77956,1.88123,9.38631,0.00000,0.26289
15579,2009,14274,8.013,1,-0.52524,-0.04895,7.961,9.856,5.807,6.149,0.77956,1.88123,9.38631,0.00000,0.26289
15579,2010,14274,8.331,0,0.49833,-0.52524,8.105,10.895,6.850,6.623,0.70582,2.86447,9.40261,0.00000,0.22167
15579,2010,14274,8.362,1,0.49833,-0.52524,8.013,10.895,6.850,6.623,0.70582,2.86447,9.40261,0.00000,0.22167
15579,2011,14274,8.556,0,0.50256,0.49833,8.331,11.513,7.376,6.705,0.70803,3.05245,9.50316,0.00000,0.31521
15579,2011,14274,8.647,1,0.50256,0.49833,8.362,11.513,7.376,6.705,0.70803,3.05245,9.50316,0.00000,0.31521
16126,2007,36052,0.000,0,0.82994,0.69850,0.000,9.734,5.298,1.974,0.58023,1.62141,5.30781,0.10806,0.04912
16126,2007,36052,5.504,1,0.62825,0.30397,5.507,9.734,5.298,1.974,0.58023,1.62141,5.30781,0.10806,0.04912
