permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
10909,2010,06625,20100731,7,10,0.03237,0.35322,0.00000,0,0.18574,0.44424,0.000,13.496,8.919,5.259,0.97112,3.40200,7.67302,0.01649,0.18463
10909,2010,06625,20100331,3,10,0.03237,0.35322,0.00000,1,0.92390,0.16279,7.087,13.496,8.919,5.259,0.97112,3.40200,7.67302,0.01649,0.18463
10909,2011,06625,20110731,7,10,0.01961,0.36120,0.00000,0,0.71299,0.18574,0.000,13.482,8.910,5.378,0.97136,3.46854,7.79309,0.01104,0.21244
10909,2011,06625,20110331,3,10,0.01961,0.36120,0.00000,1,0.30552,0.92390,7.903,13.482,8.910,5.378,0.97136,3.46854,7.79309,0.01104,0.21244
11618,2007,14812,20070731,7,10,0.04018,0.25371,0.00849,0,0.20771,0.03633,0.000,9.412,4.815,0.000,1.00000,5.33411,6.94699,0.00000,0.10997
11618,2007,14812,20070731,7,10,0.04018,0.25371,0.00849,1,-0.16439,0.68243,0.000,9.412,4.815,0.000,1.00000,5.33411,6.94699,0.00000,0.10997
11618,2008,14812,20080731,7,10,0.02391,0.25545,0.00994,0,0.05380,0.20771,0.000,9.685,5.292,4.461,0.57305,5.31388,7.05967,0.00000,0.21934
11618,2008,14812,20080430,4,10,0.02391,0.25545,0.00994,1,0.05380,0.20771,8.165,9.685,5.292,4.461,0.57305,5.31388,7.05967,0.00000,0.21934
11618,2009,14812,20090731,7,10,0.03527,0.28264,0.01479,0,-0.27874,0.05380,0.000,9.402,4.989,4.282,0.55406,4.09324,7.17407,0.00000,0.22346
11618,2009,14812,20090731,7,10,0.03527,0.28264,0.01479,1,-0.27874,0.05380,0.000,9.402,4.989,4.282,0.55406,4.09324,7.17407,0.00000,0.22346
11618,2010,14812,20100731,7,10,0.03237,0.30843,0.01681,0,0.37486,-0.27874,0.000,9.600,5.217,4.333,0.77400,4.72784,7.19170,0.00000,0.23469
11618,2010,14812,20100731,7,10,0.03237,0.30843,0.01681,1,0.37486,-0.27874,0.000,9.600,5.217,4.333,0.77400,4.72784,7.19170,0.00000,0.23469
11618,2011,14812,20110731,7,10,0.01961,0.32393,0.02002,0,0.36799,0.37486,0.000,10.013,5.659,4.307,0.86253,6.14211,7.29253,0.00000,0.18118
11618,2011,14812,20110731,7,10,0.01961,0.32393,0.02002,1,0.36799,0.37486,0.000,10.013,5.659,4.307,0.86253,6.14211,7.29253,0.00000,0.18118
11644,2007,34308,20071231,12,10,0.04018,0.27197,0.00000,0,0.04719,-0.03004,8.724,10.853,6.330,0.316,0.62840,1.37077,7.53856,0.17800,0.35863
11644,2007,34308,20070731,7,10,0.04018,0.27197,0.00000,1,-0.13097,0.01598,0.000,10.853,6.330,0.316,0.62840,1.37077,7.53856,0.17800,0.35863
11644,2008,34308,20081231,12,10,0.02391,0.29057,0.00000,0,0.36498,0.04719,8.834,10.819,6.276,0.071,0.50673,1.32828,7.76446,0.24385,0.23763
11644,2008,34308,20080731,7,10,0.02391,0.29057,0.00000,1,1.21130,-0.13097,0.000,10.819,6.276,0.071,0.50673,1.32828,7.76446,0.24385,0.23763
